"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"APA","APA GROUP","Utilities","13/06/2000",11775340603
"APC","AUSTRALIAN POTASH LIMITED","Materials","20/12/2011",7790093
"APE","EAGERS AUTOMOTIVE LIMITED","Consumer Discretionary Distribution & Retail","17/04/1957",3727624949
"APL","ASSOCIATE GLOBAL PARTNERS LIMITED","Financial Services","30/09/2004",13073640
"APM","APM HUMAN SERVICES INTERNATIONAL LIMITED","Commercial & Professional Services","12/11/2021",1834363892
"APS","ALLUP SILICA LIMITED","Materials","02/05/2022",5070700
"APW","AIMS PROPERTY SECURITIES FUND","Equity Real Estate Investment Trusts (REITs)","17/12/2004",55648854
"APX","APPEN LIMITED","Software & Services","07/01/2015",356212030
"APZ","ASPEN GROUP","Equity Real Estate Investment Trusts (REITs)","11/04/1991",313090146
"AQC","AUSTRALIAN PACIFIC COAL LIMITED","Materials","17/12/1999",48623533
"AQD","AUSQUEST LIMITED","Materials","25/11/2003",14027537
"AQI","ALICANTO MINERALS LIMITED","Materials","19/09/2012",25395830
"AQN","AQUIRIAN LIMITED","Commercial & Professional Services","27/07/2021",14501120
"AQS","AQUIS ENTERTAINMENT LIMITED","Consumer Services","02/12/2011",34251094
"AQX","ALICE QUEEN LIMITED","Materials","09/09/2004",1771208
"AQZ","ALLIANCE AVIATION SERVICES LIMITED","Transportation","20/12/2011",530424500
"AR1","AUSTRAL RESOURCES AUSTRALIA LTD","Materials","03/11/2021",100161507
"AR3","AUSTRALIAN RARE EARTHS LIMITED","Materials","01/07/2021",42395640
"AR9","ARCHTIS LIMITED","Software & Services","21/09/2018",29985935
"ARA","ARIADNE AUSTRALIA LIMITED","Commercial & Professional Services","12/10/1982",121500884
"ARB","ARB CORPORATION LIMITED.","Automobiles & Components","26/06/1987",2587769904
"ARC","ARC FUNDS LIMITED","Financial Services","14/04/2000",7218324
"ARD","ARGENT MINERALS LIMITED","Materials","03/04/2008",12968793
"ARE","ARGONAUT RESOURCES NL","Materials","23/01/1986",7316152
"ARF","ARENA REIT.","Equity Real Estate Investment Trusts (REITs)","13/06/2013",1339693387
"ARG","ARGO INVESTMENTS LIMITED","Not Applic","31/03/1963",6739631924
"ARL","ARDEA RESOURCES LIMITED","Materials","09/02/2017",118607393
"ARN","ALDORO RESOURCES LIMITED","Materials","13/09/2018",20866680
"ARR","AMERICAN RARE EARTHS LIMITED","Materials","17/02/2011",76078961
"ART","AIRTASKER LIMITED","Media & Entertainment","23/03/2021",86718224
"ARU","ARAFURA RARE EARTHS LTD","Materials","05/11/2003",623442584
"ARV","ARTEMIS RESOURCES LIMITED","Materials","16/03/2007",25118694
"ARX","AROA BIOSURGERY LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/07/2020",312229616
"AS2","ASKARI METALS LIMITED","Materials","07/07/2021",21840031
"ASB","AUSTAL LIMITED","Capital Goods","08/12/1998",800996544
"ASE","ASTUTE METALS NL","Materials","14/08/1986",16160135
"ASG","AUTOSPORTS GROUP LIMITED.","Consumer Discretionary Distribution & Retail","16/11/2016",482400000
"ASH","ASHLEY SERVICES GROUP LIMITED","Commercial & Professional Services","21/08/2014",96463856
"ASK","ABACUS STORAGE KING","Equity Real Estate Investment Trusts (REITs)","01/08/2023",1774038999
"ASM","AUSTRALIAN STRATEGIC MATERIALS LIMITED","Materials","30/07/2020",266728363
"ASN","ANSON RESOURCES LIMITED","Materials","08/07/2010",196931152
"ASNNC","ANSON RESOURCES LIMITED","Materials","08/07/2010",196931152
"ASO","ASTON MINERALS LIMITED","Materials","04/03/2011",58672123
"ASP","ASPERMONT LIMITED.","Media & Entertainment","27/04/2000",41458983
"ASQ","AUSTRALIAN SILICA QUARTZ GROUP LTD","Materials","22/10/2007",17462943
"ASR","ASRA MINERALS LIMITED","Materials","30/06/1986",11523097
"ASW","ADVANCED SHARE REGISTRY LIMITED","Financial Services","10/06/2008",26110050
